video_name,noiseFlag,normFlag,SER,BER,symbolMSE,symbolNMSE,vertical_dimension,horizontal_dimension,status
1y_1x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.875098e-03,0.005548,240.000000,240.000000,ok
1y_1x_1z_f5_dark.mp4,0,0,0.000000,0.000000,4.341794e-03,0.008378,240.000000,240.000000,ok
1y_2x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.696716e-03,0.005203,240.000000,240.000000,ok
1y_3x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.073679e-03,0.004001,240.000000,240.000000,ok
1y_3x_1z_f5_dark.mp4,0,0,0.000000,0.000000,2.659685e-03,0.005132,240.000000,240.000000,ok
1y_4x_0z_f5_dark.mp4,0,0,0.038194,0.000000,2.645224e-02,0.051040,240.000000,240.000000,ok
1y_4x_0z_f5_dark_v1.mp4,0,0,0.000000,0.000000,4.297457e-03,0.008292,240.000000,240.000000,ok
1y_4x_0z_f5_dark_v2.mp4,0,0,0.000000,0.000000,2.142354e-03,0.004134,240.000000,240.000000,ok
1y_4x_0z_f5_dark_v3.mp4,0,0,0.000000,0.000000,2.740628e-03,0.005288,240.000000,240.000000,ok
1y_5x_0z_f5_dark.mp4,0,0,0.256944,0.000000,2.250765e-01,0.434291,240.000000,240.000000,ok
1y_5x_0z_f5_dark_v1.mp4,0,0,0.000000,0.000000,5.643198e-03,0.010889,240.000000,240.000000,ok
1y_5x_0z_f5_dark_v2.mp4,0,0,0.000000,0.000000,2.933163e-03,0.005660,240.000000,240.000000,ok
1y_5x_0z_f5_dark_v3.mp4,0,0,0.000000,0.000000,3.201585e-03,0.006178,240.000000,240.000000,ok
1y_5x_1z_f5_dark.mp4,0,0,0.000000,0.000000,4.170288e-03,0.008047,240.000000,240.000000,ok
2y_1x_0z_f5_dark.mp4,0,0,0.000000,0.000000,3.016405e-03,0.005820,240.000000,240.000000,ok
2y_2x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.499045e-03,0.004822,240.000000,240.000000,ok
2y_3x_0z_f5_dark.mp4,0,0,0.000000,0.000000,3.396452e-03,0.006554,240.000000,240.000000,ok
2y_4x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.304956e-03,0.004447,240.000000,240.000000,ok
2y_5x_0z_f5_dark.mp4,0,0,0.187500,0.000000,1.402255e-01,0.270569,240.000000,240.000000,ok
2y_5x_0z_f5_dark_v1.mp4,0,0,0.000000,0.000000,2.088436e-03,0.004030,240.000000,240.000000,ok
2y_5x_0z_f5_dark_v2.mp4,0,0,0.000000,0.000000,2.575403e-03,0.004969,240.000000,240.000000,ok
2y_5x_0z_f5_dark_v3.mp4,0,0,0.000000,0.000000,2.238768e-03,0.004320,240.000000,240.000000,ok
3y_1x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.012203e-03,0.003883,240.000000,240.000000,ok
3y_2x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.744494e-03,0.005296,240.000000,240.000000,ok
3y_3x_0z_f5_dark.mp4,0,0,0.000000,0.000000,4.297323e-03,0.008292,240.000000,240.000000,ok
3y_4x_0z_f5_dark.mp4,0,0,0.000000,0.000000,3.077752e-03,0.005939,240.000000,240.000000,ok
3y_5x_0z_f5_dark.mp4,0,0,0.487847,0.493056,1.832474e+01,35.358045,1801.000000,2783.000000,ok
3y_5x_0z_f5_dark_v1.mp4,0,0,0.000000,0.000000,4.692621e-03,0.009055,240.000000,240.000000,ok
3y_5x_0z_f5_dark_v2.mp4,0,0,0.000000,0.000000,2.725247e-03,0.005258,240.000000,240.000000,ok
3y_5x_0z_f5_dark_v3.mp4,0,0,0.000000,0.000000,3.018762e-03,0.005825,240.000000,240.000000,ok
4y_1x_0z_f5_dark.mp4,0,0,0.000000,0.000000,1.871341e-03,0.003611,240.000000,240.000000,ok
4y_2x_0z_f5_dark.mp4,0,0,0.000000,0.000000,4.170314e-03,0.008047,240.000000,240.000000,ok
4y_3x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.892483e-03,0.005581,240.000000,240.000000,ok
4y_4x_0z_f5_dark.mp4,0,0,0.000000,0.000000,1.790978e-03,0.003456,240.000000,240.000000,ok
4y_5x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.778265e-03,0.005361,240.000000,240.000000,ok
5y_1x_0z_f5_dark.mp4,0,0,0.000000,0.000000,4.208098e-03,0.008120,240.000000,240.000000,ok
5y_2x_0z_f5_dark.mp4,0,0,0.000000,0.000000,3.360858e-03,0.006485,240.000000,240.000000,ok
5y_3x_0z_f5_dark.mp4,0,0,0.000000,0.000000,2.614888e-03,0.005045,240.000000,240.000000,ok
