video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference,pnp_custom_x,pnp_custom_y,pnp_custom_z,pnp_custom_distance,error_dist_abs,error_dist_pct,error_depth_abs,error_x_abs,error_y_abs,error_z_abs,error_3d_abs,pnp_builtin_x,pnp_builtin_y,pnp_builtin_z,pnp_builtin_distance,error_builtin_dist_abs,error_builtin_x_abs,error_builtin_y_abs,error_builtin_z_abs,error_builtin_3d_abs
1y_1x_0z_f5_dark.mp4,0.75,0.35,-0.114,0.83546,5,939,87,1238,86,1235,382,936,378,291,296,299,299,5,0,3,1,0.356691452139153,-0.108446941829538,0.727549133972615,0.817506742214165,0.0179532577858346,2.14890692383053,0.0224508660273854,0.00669145213915256,0.00555305817046244,0.0224508660273854,0.0240759916131136,0.356691452139153,-0.108446941829538,0.727549133972615,0.817506742214165,0.0179532577858346,0.00669145213915256,0.00555305817046244,0.0224508660273854,0.0240759916131136
1y_2x_0z_f5_dark.mp4,0.75,0.175,-0.114,0.77854,5,722,89,1018,86,1014,380,720,377,288,294,296,294,6,2,2,3,0.176715937168125,-0.108290214450144,0.728703743697437,0.757604408034646,0.0209355919653536,2.68908366498235,0.0212962563025628,0.00171593716812476,0.00570978554985592,0.0212962563025628,0.0221150768457797,0.176715937168125,-0.108290214450144,0.728703743697437,0.757604408034646,0.0209355919653536,0.00171593716812476,0.00570978554985592,0.0212962563025628,0.0221150768457797
1y_3x_0z_f5_dark.mp4,0.75,0,-0.114,0.75861,5,512,91,802,88,799,379,513,376,285,291,290,286,6,4,1,3,0.000218892567721228,-0.108448343965436,0.73002837836289,0.738039649638115,0.0205703503618846,2.71158439275578,0.0199716216371103,0.000218892567721228,0.00555165603456377,0.0199716216371103,0.0207300378556867,0.000218892567721228,-0.108448343965436,0.73002837836289,0.738039649638115,0.0205703503618846,0.000218892567721228,0.00555165603456377,0.0199716216371103,0.0207300378556867
1y_4x_0z_f5_dark.mp4,0.75,-0.175,-0.114,0.77854,5,293,89,582,89,582,378,294,376,287,289,289,288,2,1,1,0,-0.182072994033512,-0.10900302175144,0.731696128476944,0.761847398325558,0.0166926016744424,2.14409043523036,0.0183038715230561,0.0070729940335125,0.00499697824855995,0.0183038715230561,0.0202491666235238,-0.182072994033512,-0.10900302175144,0.731696128476944,0.761847398325558,0.0166926016744424,0.0070729940335125,0.00499697824855995,0.0183038715230561,0.0202491666235238
1y_5x_0z_f5_dark.mp4,0.75,-0.35,-0.114,0.83546,5,75,85,362,86,361,376,74,373,288,290,287,287,2,0,1,1,-0.365787417977796,-0.112265052575566,0.733415909826807,0.827225950975754,0.00823404902424574,0.985570706466586,0.0165840901731926,0.0157874179777959,0.00173494742443392,0.0165840901731926,0.0229626796311704,-0.365787417977796,-0.112265052575566,0.733415909826807,0.827225950975754,0.00823404902424574,0.0157874179777959,0.00173494742443392,0.0165840901731926,0.0229626796311704
2y_1x_0z_f5_dark.mp4,1,0.35,-0.114,1.0656,5,875,158,1098,157,1095,378,872,374,216,221,223,223,5,0,3,1,0.367101916862965,-0.108582344906914,0.97939805967549,1.05155813072129,0.0140418692787065,1.3177429878666,0.0206019403245103,0.0171019168629652,0.00541765509308632,0.0206019403245103,0.0273178786187746,0.367101916862965,-0.108582344906914,0.97939805967549,1.05155813072129,0.0140418692787065,0.0171019168629652,0.00541765509308632,0.0206019403245103,0.0273178786187746
2y_2x_0z_f5_dark.mp4,1,0.175,-0.114,1.02158,5,708,159,927,157,924,376,706,373,214,219,219,218,5,1,2,2,0.179662245995189,-0.109134541073413,0.975924779535734,0.998307590877286,0.0232724091227137,2.27807994701479,0.024075220464266,0.00466224599518886,0.00486545892658696,0.024075220464266,0.0250005093685903,0.179662245995189,-0.109134541073413,0.975924779535734,0.998307590877286,0.0232724091227137,0.00466224599518886,0.00486545892658696,0.024075220464266,0.0250005093685903
2y_3x_0z_f5_dark.mp4,1,0,-0.114,1.00648,5,539,159,754,158,753,374,540,372,213,216,215,213,3,2,1,1,-0.0100876918792621,-0.109983292906682,0.976367237584739,0.982594050905511,0.0238859490944892,2.37321646674441,0.0236327624152611,0.0100876918792621,0.00401670709331813,0.0236327624152611,0.0260077473592125,-0.0100876918792621,-0.109983292906682,0.976367237584739,0.982594050905511,0.0238859490944892,0.0100876918792621,0.00401670709331813,0.0236327624152611,0.0260077473592125
2y_4x_0z_f5_dark.mp4,1,-0.175,-0.114,1.02158,5,371,158,587,158,588,374,373,373,215,216,216,215,1,1,2,0,-0.196126313268953,-0.109478744106746,0.97419318762704,0.999751715670743,0.0218282843292568,2.13671805725022,0.0258068123729603,0.0211263132689535,0.00452125589325442,0.0258068123729603,0.033656417397629,-0.196126313268953,-0.109478744106746,0.97419318762704,0.999751715670743,0.0218282843292568,0.0211263132689535,0.00452125589325442,0.0258068123729603,0.033656417397629
2y_5x_0z_f5_dark.mp4,1,-0.35,-0.114,1.0656,5,214,155,429,156,431,372,214,370,215,216,215,217,1,2,0,1,-0.371832404360414,-0.113015550098916,0.978340891235077,1.05270259378385,0.0128974062161473,1.21034217493875,0.0216591087649229,0.0218324043604136,0.000984449901084428,0.0216591087649229,0.0307691406161289,-0.371832404360414,-0.113015550098916,0.978340891235077,1.05270259378385,0.0128974062161473,0.0218324043604136,0.000984449901084428,0.0216591087649229,0.0307691406161289
