video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference,pnp_custom_x,pnp_custom_y,pnp_custom_z,pnp_custom_distance,error_dist_abs,error_dist_pct,error_depth_abs,error_x_abs,error_y_abs,error_z_abs,error_3d_abs,pnp_builtin_x,pnp_builtin_y,pnp_builtin_z,pnp_builtin_distance,error_builtin_dist_abs,error_builtin_x_abs,error_builtin_y_abs,error_builtin_z_abs,error_builtin_3d_abs
1y_1x_0z_f5_dark.mp4,0.75,0.35,-0.114,0.83546,5,939,87,1238,86,1235,382,936,378,291,296,299,299,5,0,3,1,0.35635991721762,-0.109318651492468,0.739859373451821,0.828453288150878,0.00700671184912194,0.838665148435825,0.010140626548179,0.00635991721761986,0.0046813485075315,0.010140626548179,0.0128528548444919,0.35635991721762,-0.109318651492468,0.739859373451821,0.828453288150878,0.00700671184912194,0.00635991721761986,0.0046813485075315,0.010140626548179,0.0128528548444919
1y_1x_1z_f5_dark.mp4,0.75,0.35,0.126,0.83718,5,944,392,1243,395,1240,689,943,682,290,294,299,297,4,2,1,3,0.361902279695395,0.141870984855107,0.743359293852647,0.838858555508369,0.00167855550836926,0.200501147706498,0.0066407061473529,0.0119022796953951,0.0158709848551066,0.0066407061473529,0.0209201195109858,0.361902279695395,0.141870984855107,0.743359293852647,0.838858555508369,0.00167855550836926,0.0119022796953951,0.0158709848551066,0.0066407061473529,0.0209201195109858
1y_2x_0z_f5_dark.mp4,0.75,0.175,-0.114,0.77854,5,722,89,1018,86,1014,380,720,377,288,294,296,294,6,2,2,3,0.177140770060501,-0.109548353958463,0.743521499572104,0.77214241859814,0.00639758140185953,0.821740874182384,0.00647850042789599,0.00214077006050062,0.0044516460415373,0.00647850042789599,0.00814684090462795,0.177140770060501,-0.109548353958463,0.743521499572104,0.77214241859814,0.00639758140185953,0.00214077006050062,0.0044516460415373,0.00647850042789599,0.00814684090462795
1y_3x_0z_f5_dark.mp4,0.75,0,-0.114,0.75861,5,512,91,802,88,799,379,513,376,285,291,290,286,6,4,1,3,0.00133126256952101,-0.109811223113652,0.748797000990246,0.756807257942028,0.00180274205797171,0.237637528897814,0.00120299900975407,0.00133126256952101,0.00418877688634781,0.00120299900975407,0.00455689789770174,0.00133126256952101,-0.109811223113652,0.748797000990246,0.756807257942028,0.00180274205797171,0.00133126256952101,0.00418877688634781,0.00120299900975407,0.00455689789770174
1y_3x_1z_f5_dark.mp4,0.75,0,0.126,0.76051,5,478,389,764,391,764,679,475,678,289,288,286,289,1,3,3,2,-0.0275692500816276,0.139764621380705,0.752755765345886,0.766117128904729,0.00560712890472903,0.737285361761059,0.00275576534588573,0.0275692500816276,0.0137646213807048,0.00275576534588573,0.0309373979910894,-0.0275692500816276,0.139764621380705,0.752755765345886,0.766117128904729,0.00560712890472903,0.0275692500816276,0.0137646213807048,0.00275576534588573,0.0309373979910894
1y_4x_0z_f5_dark.mp4,0.75,-0.175,-0.114,0.77854,5,293,89,582,89,582,378,294,376,287,289,289,288,2,1,1,0,-0.180340818340796,-0.110394509463978,0.748243766735432,0.77754645709311,0.00099354290688991,0.127616167042144,0.00175623326456809,0.00534081834079594,0.00360549053602201,0.00175623326456809,0.00667894137077891,-0.180340818340796,-0.110394509463978,0.748243766735432,0.77754645709311,0.00099354290688991,0.00534081834079594,0.00360549053602201,0.00175623326456809,0.00667894137077891
1y_5x_0z_f5_dark.mp4,0.75,-0.35,-0.114,0.83546,5,75,85,362,86,361,376,74,373,288,290,287,287,2,0,1,1,-0.363356519915377,-0.113279481986077,0.74894388567636,0.840105437130396,0.00464543713039567,0.556033458261996,0.00105611432363972,0.0133565199153775,0.0007205180139227,0.00105611432363972,0.0134175686293329,-0.363356519915377,-0.113279481986077,0.74894388567636,0.840105437130396,0.00464543713039567,0.0133565199153775,0.0007205180139227,0.00105611432363972,0.0134175686293329
1y_5x_1z_f5_dark.mp4,0.75,-0.35,0.126,0.83718,5,47,388,340,390,337,681,46,677,289,291,293,291,2,2,1,2,-0.380301493309639,0.137107559139895,0.742390179707817,0.845322948649477,0.00814294864947662,0.972664020817103,0.00760982029218304,0.0303014933096389,0.0111075591398946,0.00760982029218304,0.0331582226863816,-0.380301493309639,0.137107559139895,0.742390179707817,0.845322948649477,0.00814294864947662,0.0303014933096389,0.0111075591398946,0.00760982029218304,0.0331582226863816
2y_1x_0z_f5_dark.mp4,1,0.35,-0.114,1.0656,5,875,158,1098,157,1095,378,872,374,216,221,223,223,5,0,3,1,0.366689682255654,-0.109982151750809,0.996310414474329,1.0673293019338,0.00172930193380316,0.162284340634681,0.00368958552567078,0.0166896822556539,0.00401784824919141,0.00368958552567078,0.0175585204302487,0.366689682255654,-0.109982151750809,0.996310414474329,1.0673293019338,0.00172930193380316,0.0166896822556539,0.00401784824919141,0.00368958552567078,0.0175585204302487
2y_2x_0z_f5_dark.mp4,1,0.175,-0.114,1.02158,5,708,159,927,157,924,376,706,373,214,219,219,218,5,1,2,2,0.180418774286295,-0.110769707372158,0.998612424138594,1.02080734510986,0.000772654890139002,0.0756333219267215,0.0013875758614057,0.00541877428629545,0.0032302926278417,0.0013875758614057,0.00645935538567595,0.180418774286295,-0.110769707372158,0.998612424138594,1.02080734510986,0.000772654890139002,0.00541877428629545,0.0032302926278417,0.0013875758614057,0.00645935538567595
