video_name,y_position,x_position,z_position,distance,frames,x_tl,y_tl,x_tr,y_tr,x_br,y_br,x_bl,y_bl,left_height,right_height,top_width,bottom_width,height_difference,width_difference,x_coordinate_difference,y_coordinate_difference,pnp_custom_x,pnp_custom_y,pnp_custom_z,pnp_custom_distance,error_dist_abs,error_dist_pct,error_depth_abs,error_x_abs,error_y_abs,error_z_abs,pnp_builtin_x,pnp_builtin_y,pnp_builtin_z,pnp_builtin_distance,error_builtin_dist_abs,error_builtin_x_abs,error_builtin_y_abs,error_builtin_z_abs
1.60-1-f5_dark.mp4,1.596,0.63,-0.13185,1.7209,5,949,219,1087,220,1085,355,948,354,135,135,138,137,0,1,1,1,0.767234786807006,-0.147308698310761,1.55198422709763,1.73752816145369,0.0166281614536885,0.966247978016649,0.0440157729023685,0.137234786807006,0.0154586983107612,0.0440157729023685,0.767234786807006,-0.147308698310761,1.55198422709763,1.73752816145369,0.0166281614536885,0.137234786807006,0.0154586983107612,0.0440157729023685
1.60-2-f5_dark.mp4,1.596,0.315,-0.13185,1.63212,5,760,222,895,222,894,355,759,355,133,133,135,135,0,0,1,0,0.436101622353509,-0.146033129019244,1.569037936273,1.63505056351611,0.00293056351611432,0.179555640278553,0.0269620637269956,0.121101622353509,0.0141831290192443,0.0269620637269956,0.436101622353509,-0.146033129019244,1.569037936273,1.63505056351611,0.00293056351611432,0.121101622353509,0.0141831290192443,0.0269620637269956
1.60-3-f5_dark.mp4,1.596,0,-0.13185,1.60144,5,591,207,724,207,723,341,591,340,133,134,133,132,1,1,0,0,0.131677929857554,-0.173489579752478,1.58375471939814,1.59866091548838,0.00277908451161912,0.173536599037062,0.0122452806018587,0.131677929857554,0.0416395797524779,0.0122452806018587,0.131677929857554,-0.173489579752478,1.58375471939814,1.59866091548838,0.00277908451161912,0.131677929857554,0.0416395797524779,0.0122452806018587
1.60-4-f5_dark.mp4,1.596,-0.315,-0.13185,1.63212,5,416,213,550,214,550,347,416,347,134,133,134,134,1,0,0,1,-0.183036346393993,-0.161545260971135,1.5848705047748,1.60356281209955,0.0285571879004507,1.74969903563774,0.0111294952252028,0.131963653606007,0.029695260971135,0.0111294952252028,-0.183036346393993,-0.161545260971135,1.5848705047748,1.60356281209955,0.0285571879004507,0.131963653606007,0.029695260971135,0.0111294952252028
1.60-5-f5_dark.mp4,1.596,-0.63,-0.13185,1.7209,5,265,224,399,225,399,358,265,357,133,133,134,134,0,0,0,1,-0.45564815438457,-0.142826120214738,1.60229188772754,1.67193116924326,0.0489688307567415,2.8455361006881,0.00629188772753553,0.17435184561543,0.0109761202147381,0.00629188772753553,-0.45564815438457,-0.142826120214738,1.60229188772754,1.67193116924326,0.0489688307567415,0.17435184561543,0.0109761202147381,0.00629188772753553
1.90-1-f5_dark.mp4,1.896,0.63,-0.13185,2.00227,5,889,241,1004,241,1003,354,888,354,113,113,115,115,0,0,1,0,0.764576224219435,-0.153650875849783,1.85014628318377,2.00779148904207,0.00552148904207295,0.27576146284332,0.0458537168162263,0.134576224219435,0.0218008758497828,0.0458537168162263,0.764576224219435,-0.153650875849783,1.85014628318377,2.00779148904207,0.00552148904207295,0.134576224219435,0.0218008758497828,0.0458537168162263
1.90-2-f5_dark.mp4,1.896,0.315,-0.13185,1.92651,5,744,225,858,225,856,338,743,338,113,113,114,113,0,1,1,0,0.460033002448699,-0.187344079664577,1.85921679537581,1.92442595589823,0.00208404410176755,0.108177175398391,0.0367832046241907,0.145033002448699,0.055494079664577,0.0367832046241907,0.460033002448699,-0.187344079664577,1.85921679537581,1.92442595589823,0.00208404410176755,0.145033002448699,0.055494079664577,0.0367832046241907
1.90-3-f5_dark.mp4,1.896,0,-0.13185,1.90058,5,604,233,716,234,715,346,603,346,113,112,112,112,1,0,1,1,0.160541270593844,-0.170433682691167,1.86055340070589,1.87522801190624,0.0253519880937636,1.33390796987044,0.0354465992941086,0.160541270593844,0.0385836826911673,0.0354465992941086,0.160541270593844,-0.170433682691167,1.86055340070589,1.87522801190624,0.0253519880937636,0.160541270593844,0.0385836826911673,0.0354465992941086
1.90-4-f5_dark.mp4,1.896,-0.315,-0.13185,1.92651,5,454,249,567,250,567,362,454,362,113,112,113,113,1,0,0,1,-0.15836504538121,-0.137039736759723,1.8752795637449,1.88693741794715,0.0395725820528532,2.05410727444203,0.0207204362550957,0.15663495461879,0.00518973675972317,0.0207204362550957,-0.15836504538121,-0.137039736759723,1.8752795637449,1.88693741794715,0.0395725820528532,0.15663495461879,0.00518973675972317,0.0207204362550957
1.90-5-f5_dark.mp4,1.896,-0.63,-0.13185,2.00227,5,313,235,427,236,428,349,313,348,113,113,114,115,0,1,0,1,-0.451947517134206,-0.165030094266879,1.86569010573047,1.92673066640827,0.0755393335917254,3.77268468247166,0.0303098942695315,0.178052482865794,0.0331800942668786,0.0303098942695315,-0.451947517134206,-0.165030094266879,1.86569010573047,1.92673066640827,0.0755393335917254,0.178052482865794,0.0331800942668786,0.0303098942695315
