video_name,noiseFlag,normFlag,SER,BER,symbolMSE,symbolNMSE,vertical_dimension,horizontal_dimension,status
1.60-1-f5_dark.mp4,1,0,0.000000,0.000000,1.156740e-02,0.022099,240.000000,240.000000,ok
1.60-3-f5_dark.mp4,1,0,0.000000,0.000000,6.241637e-03,0.011924,240.000000,240.000000,ok
1.60-5-f5_dark.mp4,1,0,0.000000,0.000000,1.842458e-03,0.003520,240.000000,240.000000,ok
1.90-1-f5_dark.mp4,1,0,0.000000,0.000000,4.618369e-02,0.088231,240.000000,240.000000,ok
1.90-3-f5_dark.mp4,1,0,0.000000,0.000000,2.104149e-02,0.040199,240.000000,240.000000,ok
1.90-5-f5_dark.mp4,1,0,0.000000,0.000000,9.755312e-03,0.018637,240.000000,240.000000,ok
2.20-1-f5_dark.mp4,1,0,0.000000,0.000000,1.114025e-02,0.021283,240.000000,240.000000,ok
2.20-3-f5_dark.mp4,1,0,0.000000,0.000000,2.814667e-02,0.053773,240.000000,240.000000,ok
2.20-5-f5_dark.mp4,1,0,0.000000,0.000000,2.068303e-02,0.039514,240.000000,240.000000,ok
2.50-1-f5_dark.mp4,1,0,0.000000,0.000000,6.306149e-03,0.012048,240.000000,240.000000,ok
2.50-3-f5_dark.mp4,1,0,0.000000,0.000000,1.290786e-02,0.024660,240.000000,240.000000,ok
2.50-5-f5_dark.mp4,1,0,0.000000,0.000000,3.564583e-02,0.068099,240.000000,240.000000,ok
2.80-1-f5_dark.mp4,1,0,0.000000,0.000000,1.588218e-02,0.030342,240.000000,240.000000,ok
2.80-3-f5_dark.mp4,1,0,0.000000,0.000000,6.592300e-03,0.012594,240.000000,240.000000,ok
2.80-5-f5_dark.mp4,1,0,0.000000,0.000000,2.797766e-02,0.053450,240.000000,240.000000,ok
3.10-1-f5_dark.mp4,1,0,0.000000,0.000000,1.039092e-02,0.019851,240.000000,240.000000,ok
3.10-3-f5_dark.mp4,1,0,0.000000,0.000000,3.312079e-02,0.063275,240.000000,240.000000,ok
3.10-5-f5_dark.mp4,1,0,0.000000,0.000000,1.703380e-02,0.032542,240.000000,240.000000,ok
3.40-1-f5_dark.mp4,1,0,0.000000,0.000000,2.497295e-02,0.047709,240.000000,240.000000,ok
3.40-3-f5_dark.mp4,1,0,0.000000,0.000000,1.601642e-02,0.030599,240.000000,240.000000,ok
3.40-5-f5_dark.mp4,1,0,0.000000,0.000000,2.328658e-03,0.004449,240.000000,240.000000,ok
