video_name,noiseFlag,normFlag,SER,BER,symbolMSE,symbolNMSE,vertical_dimension,horizontal_dimension,status
1.60-1-f5_dark.mp4,1,0,0.000000,0.000000,1.160751e-02,0.022176,240.000000,240.000000,ok
1.60-3-f5_dark.mp4,1,0,0.000000,0.000000,6.222287e-03,0.011887,240.000000,240.000000,ok
1.60-5-f5_dark.mp4,1,0,0.000000,0.000000,1.860465e-03,0.003554,240.000000,240.000000,ok
1.90-1-f5_dark.mp4,1,0,0.000000,0.000000,4.621844e-02,0.088298,240.000000,240.000000,ok
1.90-3-f5_dark.mp4,1,0,0.000000,0.000000,2.087479e-02,0.039880,240.000000,240.000000,ok
1.90-5-f5_dark.mp4,1,0,0.000000,0.000000,9.800153e-03,0.018723,240.000000,240.000000,ok
2.20-1-f5_dark.mp4,1,0,0.000000,0.000000,1.117046e-02,0.021341,240.000000,240.000000,ok
2.20-3-f5_dark.mp4,1,0,0.000000,0.000000,2.780789e-02,0.053125,240.000000,240.000000,ok
2.20-5-f5_dark.mp4,1,0,0.000000,0.000000,2.069478e-02,0.039536,240.000000,240.000000,ok
2.50-1-f5_dark.mp4,1,0,0.000000,0.000000,6.384286e-03,0.012197,240.000000,240.000000,ok
2.50-3-f5_dark.mp4,1,0,0.000000,0.000000,1.288659e-02,0.024619,240.000000,240.000000,ok
2.50-5-f5_dark.mp4,1,0,0.000000,0.000000,3.568717e-02,0.068178,240.000000,240.000000,ok
2.80-1-f5_dark.mp4,1,0,0.000000,0.000000,1.574065e-02,0.030072,240.000000,240.000000,ok
2.80-3-f5_dark.mp4,1,0,0.000000,0.000000,6.824046e-03,0.013037,240.000000,240.000000,ok
2.80-5-f5_dark.mp4,1,0,0.000000,0.000000,2.858886e-02,0.054617,240.000000,240.000000,ok
3.10-1-f5_dark.mp4,1,0,0.000000,0.000000,1.044570e-02,0.019956,240.000000,240.000000,ok
3.10-3-f5_dark.mp4,1,0,0.000000,0.000000,3.312079e-02,0.063275,240.000000,240.000000,ok
3.10-5-f5_dark.mp4,1,0,0.000000,0.000000,1.733752e-02,0.033122,240.000000,240.000000,ok
3.40-1-f5_dark.mp4,1,0,0.000000,0.000000,2.453171e-02,0.046867,240.000000,240.000000,ok
3.40-3-f5_dark.mp4,1,0,0.000000,0.000000,1.664131e-02,0.031792,240.000000,240.000000,ok
3.40-5-f5_dark.mp4,1,0,0.000000,0.000000,2.367810e-03,0.004524,240.000000,240.000000,ok
