video_name,noiseFlag,normFlag,SER,BER,symbolMSE,symbolNMSE,vertical_dimension,horizontal_dimension,status
1.60-1-f5_dark.mp4,1,0,0.000000,0.000000,1.156197e-02,0.022089,240.000000,240.000000,ok
1.60-3-f5_dark.mp4,1,0,0.000000,0.000000,6.239931e-03,0.011921,240.000000,240.000000,ok
1.60-5-f5_dark.mp4,1,0,0.000000,0.000000,1.849566e-03,0.003533,240.000000,240.000000,ok
1.90-1-f5_dark.mp4,1,0,0.001736,0.000000,4.646722e-02,0.088773,240.000000,240.000000,ok
1.90-3-f5_dark.mp4,1,0,0.000000,0.000000,2.115501e-02,0.040415,240.000000,240.000000,ok
1.90-5-f5_dark.mp4,1,0,0.000000,0.000000,9.793308e-03,0.018710,240.000000,240.000000,ok
2.20-1-f5_dark.mp4,1,0,0.000000,0.000000,1.119010e-02,0.021378,240.000000,240.000000,ok
2.20-3-f5_dark.mp4,1,0,0.000000,0.000000,2.778028e-02,0.053073,240.000000,240.000000,ok
2.20-5-f5_dark.mp4,1,0,0.000000,0.000000,2.074268e-02,0.039628,240.000000,240.000000,ok
2.50-1-f5_dark.mp4,1,0,0.000000,0.000000,6.847635e-03,0.013082,240.000000,240.000000,ok
2.50-3-f5_dark.mp4,1,0,0.000000,0.000000,1.306953e-02,0.024969,240.000000,240.000000,ok
2.50-5-f5_dark.mp4,1,0,0.000000,0.000000,3.614105e-02,0.069046,240.000000,240.000000,ok
2.80-1-f5_dark.mp4,1,0,0.000000,0.000000,1.557866e-02,0.029762,240.000000,240.000000,ok
2.80-3-f5_dark.mp4,1,0,0.000000,0.000000,7.171498e-03,0.013701,240.000000,240.000000,ok
2.80-5-f5_dark.mp4,1,0,0.000000,0.000000,2.977698e-02,0.056887,240.000000,240.000000,ok
3.10-1-f5_dark.mp4,1,0,0.000000,0.000000,1.042530e-02,0.019917,240.000000,240.000000,ok
3.10-3-f5_dark.mp4,1,0,0.000000,0.000000,3.400067e-02,0.064956,240.000000,240.000000,ok
3.10-5-f5_dark.mp4,1,0,0.000000,0.000000,1.738873e-02,0.033220,240.000000,240.000000,ok
3.40-1-f5_dark.mp4,1,0,0.000000,0.000000,2.452963e-02,0.046863,240.000000,240.000000,ok
3.40-3-f5_dark.mp4,1,0,0.000000,0.000000,1.664131e-02,0.031792,240.000000,240.000000,ok
3.40-5-f5_dark.mp4,1,0,0.000000,0.000000,2.398118e-03,0.004581,240.000000,240.000000,ok
